id,degree_centrality,betweenness_centrality,community,definition,construct,category
"('CONTEXT-ETHIC', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('CONTEXT-ETHIC', 'other')",1,0.0,189,,,
"('CONTEXT-ETHIC', 'proficiency in systems thinking')",1,0.0,190,,,
"('CONTEXT-ETHIC', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('CONTEXT-ETHIC', 'support omnichannel retail operations')",1,0.0,193,,,
"('CONTEXT-REG', 'ai-first design principles')",1,0.0,183,,,
"('CONTEXT-REG', 'basic concepts of billing and metering')",1,0.0,184,,,
"('CONTEXT-REG', 'disciplined execution')",1,0.0,185,,,
"('CONTEXT-REG', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('CONTEXT-REG', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('CONTEXT-REG', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('CONTEXT-REG', 'other')",1,0.0,189,,,
"('CONTEXT-REG', 'proficiency in systems thinking')",1,0.0,190,,,
"('CONTEXT-REG', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('CONTEXT-REG', 'support omnichannel retail operations')",1,0.0,193,,,
"('CORE-ADAPT', 'ai-first design principles')",1,0.0,183,,,
"('CORE-ADAPT', 'basic concepts of billing and metering')",1,0.0,184,,,
"('CORE-ADAPT', 'disciplined execution')",1,0.0,185,,,
"('CORE-ADAPT', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('CORE-ADAPT', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('CORE-ADAPT', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('CORE-ADAPT', 'other')",1,0.0,189,,,
"('CORE-ADAPT', 'proficiency in systems thinking')",1,0.0,190,,,
"('CORE-ADAPT', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('CORE-ADAPT', 'support omnichannel retail operations')",1,0.0,193,,,
"('CORE-BUSINESS', 'ai-first design principles')",1,0.0,183,,,
"('CORE-BUSINESS', 'basic concepts of billing and metering')",1,0.0,184,,,
"('CORE-BUSINESS', 'disciplined execution')",1,0.0,185,,,
"('CORE-BUSINESS', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('CORE-BUSINESS', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('CORE-BUSINESS', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('CORE-BUSINESS', 'other')",1,0.0,189,,,
"('CORE-BUSINESS', 'proficiency in systems thinking')",1,0.0,190,,,
"('CORE-BUSINESS', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('CORE-BUSINESS', 'support omnichannel retail operations')",1,0.0,193,,,
"('EDU-ADV', 'ai-first design principles')",1,0.0,183,,,
"('EDU-ADV', 'basic concepts of billing and metering')",1,0.0,184,,,
"('EDU-ADV', 'disciplined execution')",1,0.0,185,,,
"('EDU-ADV', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('EDU-ADV', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('EDU-ADV', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('EDU-ADV', 'other')",1,0.0,189,,,
"('EDU-ADV', 'proficiency in systems thinking')",1,0.0,190,,,
"('EDU-ADV', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('EDU-ADV', 'support omnichannel retail operations')",1,0.0,193,,,
"('EXP-INDUSTRY', 'ai-first design principles')",1,0.0,183,,,
"('EXP-INDUSTRY', 'basic concepts of billing and metering')",1,0.0,184,,,
"('EXP-INDUSTRY', 'disciplined execution')",1,0.0,185,,,
"('EXP-INDUSTRY', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('EXP-INDUSTRY', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('EXP-INDUSTRY', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('EXP-INDUSTRY', 'other')",1,0.0,189,,,
"('EXP-INDUSTRY', 'proficiency in systems thinking')",1,0.0,190,,,
"('EXP-INDUSTRY', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('EXP-INDUSTRY', 'support omnichannel retail operations')",1,0.0,193,,,
"('EXP-PM-YRS', 'ai-first design principles')",1,0.0,183,,,
"('EXP-PM-YRS', 'basic concepts of billing and metering')",1,0.0,184,,,
"('EXP-PM-YRS', 'disciplined execution')",1,0.0,185,,,
"('EXP-PM-YRS', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('EXP-PM-YRS', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('EXP-PM-YRS', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('EXP-PM-YRS', 'other')",1,0.0,189,,,
"('EXP-PM-YRS', 'proficiency in systems thinking')",1,0.0,190,,,
"('EXP-PM-YRS', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('EXP-PM-YRS', 'support omnichannel retail operations')",1,0.0,193,,,
"('EXP_ROLE', 'ai-first design principles')",1,0.0,183,,,
"('EXP_ROLE', 'basic concepts of billing and metering')",1,0.0,184,,,
"('EXP_ROLE', 'disciplined execution')",1,0.0,185,,,
"('EXP_ROLE', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('EXP_ROLE', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('EXP_ROLE', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('EXP_ROLE', 'other')",1,0.0,189,,,
"('EXP_ROLE', 'proficiency in systems thinking')",1,0.0,190,,,
"('EXP_ROLE', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('EXP_ROLE', 'support omnichannel retail operations')",1,0.0,193,,,
"('PM-METHOD', 'ai-first design principles')",1,0.0,183,,,
"('PM-METHOD', 'basic concepts of billing and metering')",1,0.0,184,,,
"('PM-METHOD', 'disciplined execution')",1,0.0,185,,,
"('PM-METHOD', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('PM-METHOD', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('PM-METHOD', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('PM-METHOD', 'other')",1,0.0,189,,,
"('PM-METHOD', 'proficiency in systems thinking')",1,0.0,190,,,
"('PM-METHOD', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('PM-METHOD', 'support omnichannel retail operations')",1,0.0,193,,,
"('PM-PLAN', 'ai-first design principles')",1,0.0,183,,,
"('PM-PLAN', 'basic concepts of billing and metering')",1,0.0,184,,,
"('PM-PLAN', 'disciplined execution')",1,0.0,185,,,
"('PM-PLAN', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('PM-PLAN', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('PM-PLAN', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('PM-PLAN', 'other')",1,0.0,189,,,
"('PM-PLAN', 'proficiency in systems thinking')",1,0.0,190,,,
"('PM-PLAN', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('PM-PLAN', 'support omnichannel retail operations')",1,0.0,193,,,
"('PM-RISK', 'ai-first design principles')",1,0.0,183,,,
"('PM-RISK', 'basic concepts of billing and metering')",1,0.0,184,,,
"('PM-RISK', 'disciplined execution')",1,0.0,185,,,
"('PM-RISK', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('PM-RISK', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('PM-RISK', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('PM-RISK', 'other')",1,0.0,189,,,
"('PM-RISK', 'proficiency in systems thinking')",1,0.0,190,,,
"('PM-RISK', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('PM-RISK', 'support omnichannel retail operations')",1,0.0,193,,,
"('PM-TOOL', 'ai-first design principles')",1,0.0,183,,,
"('PM-TOOL', 'basic concepts of billing and metering')",1,0.0,184,,,
"('PM-TOOL', 'disciplined execution')",1,0.0,185,,,
"('PM-TOOL', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('PM-TOOL', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('PM-TOOL', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('PM-TOOL', 'other')",1,0.0,189,,,
"('PM-TOOL', 'proficiency in systems thinking')",1,0.0,190,,,
"('PM-TOOL', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('PM-TOOL', 'support omnichannel retail operations')",1,0.0,193,,,
"('QUAL-PREF', 'ai-first design principles')",1,0.0,183,,,
"('QUAL-PREF', 'basic concepts of billing and metering')",1,0.0,184,,,
"('QUAL-PREF', 'disciplined execution')",1,0.0,185,,,
"('QUAL-PREF', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('QUAL-PREF', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('QUAL-PREF', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('QUAL-PREF', 'other')",1,0.0,189,,,
"('QUAL-PREF', 'proficiency in systems thinking')",1,0.0,190,,,
"('QUAL-PREF', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('QUAL-PREF', 'support omnichannel retail operations')",1,0.0,193,,,
"('SS-LEADERSHIP', 'ai-first design principles')",1,0.0,183,,,
"('SS-LEADERSHIP', 'basic concepts of billing and metering')",1,0.0,184,,,
"('SS-LEADERSHIP', 'disciplined execution')",1,0.0,185,,,
"('SS-LEADERSHIP', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('SS-LEADERSHIP', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('SS-LEADERSHIP', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('SS-LEADERSHIP', 'other')",1,0.0,189,,,
"('SS-LEADERSHIP', 'proficiency in systems thinking')",1,0.0,190,,,
"('SS-LEADERSHIP', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('SS-LEADERSHIP', 'support omnichannel retail operations')",1,0.0,193,,,
"('SS-STAKEHOLDER', 'ai-first design principles')",1,0.0,183,,,
"('SS-STAKEHOLDER', 'basic concepts of billing and metering')",1,0.0,184,,,
"('SS-STAKEHOLDER', 'disciplined execution')",1,0.0,185,,,
"('SS-STAKEHOLDER', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('SS-STAKEHOLDER', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('SS-STAKEHOLDER', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('SS-STAKEHOLDER', 'other')",1,0.0,189,,,
"('SS-STAKEHOLDER', 'proficiency in systems thinking')",1,0.0,190,,,
"('SS-STAKEHOLDER', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('SS-STAKEHOLDER', 'support omnichannel retail operations')",1,0.0,193,,,
"('TECH-CONCEPT', 'ai-first design principles')",1,0.0,183,,,
"('TECH-CONCEPT', 'basic concepts of billing and metering')",1,0.0,184,,,
"('TECH-CONCEPT', 'disciplined execution')",1,0.0,185,,,
"('TECH-CONCEPT', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('TECH-CONCEPT', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('TECH-CONCEPT', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('TECH-CONCEPT', 'other')",1,0.0,189,,,
"('TECH-CONCEPT', 'proficiency in systems thinking')",1,0.0,190,,,
"('TECH-CONCEPT', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('TECH-CONCEPT', 'support omnichannel retail operations')",1,0.0,193,,,
"('TECH-HANDSON', 'ai-first design principles')",1,0.0,183,,,
"('TECH-HANDSON', 'basic concepts of billing and metering')",1,0.0,184,,,
"('TECH-HANDSON', 'disciplined execution')",1,0.0,185,,,
"('TECH-HANDSON', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('TECH-HANDSON', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('TECH-HANDSON', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('TECH-HANDSON', 'other')",1,0.0,189,,,
"('TECH-HANDSON', 'proficiency in systems thinking')",1,0.0,190,,,
"('TECH-HANDSON', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('TECH-HANDSON', 'support omnichannel retail operations')",1,0.0,193,,,
"('TECH-OPS', 'ai-first design principles')",1,0.0,183,,,
"('TECH-OPS', 'basic concepts of billing and metering')",1,0.0,184,,,
"('TECH-OPS', 'disciplined execution')",1,0.0,185,,,
"('TECH-OPS', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('TECH-OPS', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('TECH-OPS', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('TECH-OPS', 'other')",1,0.0,189,,,
"('TECH-OPS', 'proficiency in systems thinking')",1,0.0,190,,,
"('TECH-OPS', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('TECH-OPS', 'support omnichannel retail operations')",1,0.0,193,,,
"('ai-first design principles', 'basic concepts of billing and metering')",1,0.0,184,,,
"('ai-first design principles', 'disciplined execution')",1,0.0,185,,,
"('ai-first design principles', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('ai-first design principles', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('ai-first design principles', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('ai-first design principles', 'other')",1,0.0,189,,,
"('ai-first design principles', 'proficiency in systems thinking')",1,0.0,190,,,
"('ai-first design principles', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('ai-first design principles', 'support omnichannel retail operations')",1,0.0,193,,,
"('basic concepts of billing and metering', 'disciplined execution')",1,0.0,185,,,
"('basic concepts of billing and metering', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('basic concepts of billing and metering', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('basic concepts of billing and metering', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('basic concepts of billing and metering', 'other')",1,0.0,189,,,
"('basic concepts of billing and metering', 'proficiency in systems thinking')",1,0.0,190,,,
"('basic concepts of billing and metering', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('basic concepts of billing and metering', 'support omnichannel retail operations')",1,0.0,193,,,
"('disciplined execution', 'global omnichannel retail and supply chain')",1,0.0,187,,,
"('disciplined execution', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('disciplined execution', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('disciplined execution', 'other')",1,0.0,189,,,
"('disciplined execution', 'proficiency in systems thinking')",1,0.0,190,,,
"('disciplined execution', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('disciplined execution', 'support omnichannel retail operations')",1,0.0,193,,,
"('global omnichannel retail and supply chain', 'knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards')",1,0.0,188,,,
"('global omnichannel retail and supply chain', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('global omnichannel retail and supply chain', 'other')",1,0.0,189,,,
"('global omnichannel retail and supply chain', 'proficiency in systems thinking')",1,0.0,190,,,
"('global omnichannel retail and supply chain', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('global omnichannel retail and supply chain', 'support omnichannel retail operations')",1,0.0,193,,,
"('knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards', 'knowledge of accessibility best practices')",1,0.0,58,,,
"('knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards', 'other')",1,0.0,189,,,
"('knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards', 'proficiency in systems thinking')",1,0.0,190,,,
"('knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards', 'support omnichannel retail operations')",1,0.0,193,,,
"('knowledge of accessibility best practices', 'other')",1,0.0,189,,,
"('knowledge of accessibility best practices', 'proficiency in systems thinking')",1,0.0,190,,,
"('knowledge of accessibility best practices', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('knowledge of accessibility best practices', 'support omnichannel retail operations')",1,0.0,193,,,
"('other', 'proficiency in systems thinking')",1,0.0,190,,,
"('other', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('other', 'support omnichannel retail operations')",1,0.0,193,,,
"('proficiency in systems thinking', 'support an inclusive culture (digital accessibility focus)')",1,0.0,192,,,
"('proficiency in systems thinking', 'support omnichannel retail operations')",1,0.0,193,,,
"('support an inclusive culture (digital accessibility focus)', 'support omnichannel retail operations')",1,0.0,193,,,
"('CONTEXT-COMPLEX', 'digital-first orientation')",1,0.0,83,,,
digital-first orientation,14,8.701097323112189e-06,83,No definition available,Unknown,Unknown
"('CORE-ADAPT', 'digital-first orientation')",1,0.0,83,,,
"('CORE-BUSINESS', 'digital-first orientation')",1,0.0,83,,,
"('EXP-AI-YRS', 'digital-first orientation')",1,0.0,83,,,
"('EXP-AI-YRS', 'other')",1,0.0,189,,,
"('EXP-INDUSTRY', 'digital-first orientation')",1,0.0,83,,,
"('EXP-PM-YRS', 'digital-first orientation')",1,0.0,83,,,
"('EXP_ROLE', 'digital-first orientation')",1,0.0,83,,,
"('PM-METHOD', 'digital-first orientation')",1,0.0,83,,,
"('PM-PLAN', 'digital-first orientation')",1,0.0,83,,,
"('PM-TOOL', 'digital-first orientation')",1,0.0,83,,,
"('SS-LEADERSHIP', 'digital-first orientation')",1,0.0,83,,,
"('SS-STAKEHOLDER', 'digital-first orientation')",1,0.0,83,,,
"('TECH-HANDSON', 'digital-first orientation')",1,0.0,83,,,
"('TECH-OPS', 'digital-first orientation')",1,0.0,83,,,
"('digital-first orientation', 'other')",1,0.0,189,,,
"('CONTEXT-COMPLEX', 'experience working with engineering, research, design, and product management teams')",1,0.0,88,,,
"experience working with engineering, research, design, and product management teams",13,7.458083419810449e-06,88,No definition available,Unknown,Unknown
"('CONTEXT-COMPLEX', 'working across geographically dispersed teams and multiple time zones')",1,0.0,89,,,
working across geographically dispersed teams and multiple time zones,14,8.701097323112189e-06,89,No definition available,Unknown,Unknown
"('CORE-ADAPT', 'experience working with engineering, research, design, and product management teams')",1,0.0,88,,,
"('CORE-ADAPT', 'working across geographically dispersed teams and multiple time zones')",1,0.0,89,,,
"('CORE-BUSINESS', 'experience working with engineering, research, design, and product management teams')",1,0.0,88,,,
"('CORE-BUSINESS', 'working across geographically dispersed teams and multiple time zones')",1,0.0,89,,,
"('EXP-AI-YRS', 'experience working with engineering, research, design, and product management teams')",1,0.0,88,,,
"('EXP-AI-YRS', 'working across geographically dispersed teams and multiple time zones')",1,0.0,89,,,
"('EXP-INDUSTRY', 'experience working with engineering, research, design, and product management teams')",1,0.0,88,,,
"('EXP-INDUSTRY', 'working across geographically dispersed teams and multiple time zones')",1,0.0,89,,,
"('EXP-PM-YRS', 'experience working with engineering, research, design, and product management teams')",1,0.0,88,,,
"('EXP-PM-YRS', 'working across geographically dispersed teams and multiple time zones')",1,0.0,89,,,
"('EXP_ROLE', 'experience working with engineering, research, design, and product management teams')",1,0.0,88,,,
"('EXP_ROLE', 'working across geographically dispersed teams and multiple time zones')",1,0.0,89,,,
"('PM-PLAN', 'experience working with engineering, research, design, and product management teams')",1,0.0,88,,,
"('PM-PLAN', 'working across geographically dispersed teams and multiple time zones')",1,0.0,89,,,
"('PM-RISK', 'experience working with engineering, research, design, and product management teams')",1,0.0,88,,,
"('PM-RISK', 'working across geographically dispersed teams and multiple time zones')",1,0.0,89,,,
"('QUAL-PREF', 'experience working with engineering, research, design, and product management teams')",1,0.0,88,,,
"('QUAL-PREF', 'working across geographically dispersed teams and multiple time zones')",1,0.0,89,,,
"('SS-STAKEHOLDER', 'experience working with engineering, research, design, and product management teams')",1,0.0,88,,,
"('SS-STAKEHOLDER', 'working across geographically dispersed teams and multiple time zones')",1,0.0,89,,,
"('TECH-CONCEPT', 'experience working with engineering, research, design, and product management teams')",1,0.0,88,,,
"('TECH-CONCEPT', 'working across geographically dispersed teams and multiple time zones')",1,0.0,89,,,
"('TECH-OPS', 'experience working with engineering, research, design, and product management teams')",1,0.0,88,,,
"('TECH-OPS', 'working across geographically dispersed teams and multiple time zones')",1,0.0,89,,,
"('experience working with engineering, research, design, and product management teams', 'working across geographically dispersed teams and multiple time zones')",1,0.0,89,,,
"('CERT-TECH', 'CONTEXT-REG')",1,0.0,148,,,
"('CERT-TECH', 'EXP-PM-YRS')",1,0.0,84,,,
"('CERT-TECH', 'SS-LEADERSHIP')",1,0.0,23,,,
"('CERT-TECH', 'cybersecurity')",1,0.0,130,,,
cybersecurity,15,1.0039727680514065e-05,130,No definition available,Unknown,Unknown
"('CERT-TECH', 'entrepreneurial')",1,0.0,90,,,
entrepreneurial,16,1.1473974492016075e-05,90,No definition available,Unknown,Unknown
"('CERT-TECH', 'execution-oriented')",1,0.0,91,,,
execution-oriented,17,1.3003837757618217e-05,91,No definition available,Unknown,Unknown
"('CERT-TECH', 'remote-friendly work culture')",1,0.0,92,,,
remote-friendly work culture,18,1.4629317477320495e-05,92,No definition available,Unknown,Unknown
"('CERT-TECH', 'resourceful')",1,0.0,93,,,
resourceful,19,1.6350413651122904e-05,93,No definition available,Unknown,Unknown
"('CERT-TECH', 'self-starter')",1,0.0,94,,,
self-starter,34,5.364083075017515e-05,94,No definition available,Unknown,Unknown
"('CONTEXT-COMPLEX', 'cybersecurity')",1,0.0,130,,,
"('CONTEXT-COMPLEX', 'entrepreneurial')",1,0.0,90,,,
"('CONTEXT-COMPLEX', 'execution-oriented')",1,0.0,91,,,
"('CONTEXT-COMPLEX', 'remote-friendly work culture')",1,0.0,92,,,
"('CONTEXT-COMPLEX', 'resourceful')",1,0.0,93,,,
"('CONTEXT-COMPLEX', 'self-starter')",1,0.0,94,,,
"('CONTEXT-ETHIC', 'cybersecurity')",1,0.0,130,,,
"('CONTEXT-ETHIC', 'entrepreneurial')",1,0.0,90,,,
"('CONTEXT-ETHIC', 'execution-oriented')",1,0.0,91,,,
"('CONTEXT-ETHIC', 'remote-friendly work culture')",1,0.0,92,,,
"('CONTEXT-ETHIC', 'resourceful')",1,0.0,93,,,
"('CONTEXT-ETHIC', 'self-starter')",1,0.0,94,,,
"('CONTEXT-REG', 'cybersecurity')",1,0.0,130,,,
"('CONTEXT-REG', 'entrepreneurial')",1,0.0,90,,,
"('CONTEXT-REG', 'execution-oriented')",1,0.0,91,,,
"('CONTEXT-REG', 'remote-friendly work culture')",1,0.0,92,,,
"('CONTEXT-REG', 'resourceful')",1,0.0,93,,,
"('CONTEXT-REG', 'self-starter')",1,0.0,94,,,
"('CORE-ADAPT', 'cybersecurity')",1,0.0,130,,,
"('CORE-ADAPT', 'entrepreneurial')",1,0.0,90,,,
"('CORE-ADAPT', 'execution-oriented')",1,0.0,91,,,
"('CORE-ADAPT', 'remote-friendly work culture')",1,0.0,92,,,
"('CORE-ADAPT', 'resourceful')",1,0.0,93,,,
"('CORE-ADAPT', 'self-starter')",1,0.0,94,,,
"('CORE-BUSINESS', 'cybersecurity')",1,0.0,130,,,
"('CORE-BUSINESS', 'entrepreneurial')",1,0.0,90,,,
"('CORE-BUSINESS', 'execution-oriented')",1,0.0,91,,,
"('CORE-BUSINESS', 'remote-friendly work culture')",1,0.0,92,,,
"('CORE-BUSINESS', 'resourceful')",1,0.0,93,,,
"('CORE-BUSINESS', 'self-starter')",1,0.0,94,,,
"('EXP-INDUSTRY', 'cybersecurity')",1,0.0,130,,,
"('EXP-INDUSTRY', 'entrepreneurial')",1,0.0,90,,,
"('EXP-INDUSTRY', 'execution-oriented')",1,0.0,91,,,
"('EXP-INDUSTRY', 'remote-friendly work culture')",1,0.0,92,,,
"('EXP-INDUSTRY', 'resourceful')",1,0.0,93,,,
"('EXP-INDUSTRY', 'self-starter')",1,0.0,94,,,
"('EXP-PM-YRS', 'cybersecurity')",1,0.0,130,,,
"('EXP-PM-YRS', 'entrepreneurial')",1,0.0,90,,,
"('EXP-PM-YRS', 'execution-oriented')",1,0.0,91,,,
"('EXP-PM-YRS', 'remote-friendly work culture')",1,0.0,92,,,
"('EXP-PM-YRS', 'resourceful')",1,0.0,93,,,
"('EXP-PM-YRS', 'self-starter')",1,0.0,94,,,
"('EXP_ROLE', 'cybersecurity')",1,0.0,130,,,
"('EXP_ROLE', 'entrepreneurial')",1,0.0,90,,,
"('EXP_ROLE', 'execution-oriented')",1,0.0,91,,,
"('EXP_ROLE', 'remote-friendly work culture')",1,0.0,92,,,
"('EXP_ROLE', 'resourceful')",1,0.0,93,,,
"('EXP_ROLE', 'self-starter')",1,0.0,94,,,
"('PM-PLAN', 'cybersecurity')",1,0.0,130,,,
"('PM-PLAN', 'entrepreneurial')",1,0.0,90,,,
"('PM-PLAN', 'execution-oriented')",1,0.0,91,,,
"('PM-PLAN', 'remote-friendly work culture')",1,0.0,92,,,
"('PM-PLAN', 'resourceful')",1,0.0,93,,,
"('PM-PLAN', 'self-starter')",1,0.0,94,,,
"('PM-RISK', 'cybersecurity')",1,0.0,130,,,
"('PM-RISK', 'entrepreneurial')",1,0.0,90,,,
"('PM-RISK', 'execution-oriented')",1,0.0,91,,,
"('PM-RISK', 'remote-friendly work culture')",1,0.0,92,,,
"('PM-RISK', 'resourceful')",1,0.0,93,,,
"('PM-RISK', 'self-starter')",1,0.0,94,,,
"('SS-LEADERSHIP', 'cybersecurity')",1,0.0,130,,,
"('SS-LEADERSHIP', 'entrepreneurial')",1,0.0,90,,,
"('SS-LEADERSHIP', 'execution-oriented')",1,0.0,91,,,
"('SS-LEADERSHIP', 'remote-friendly work culture')",1,0.0,92,,,
"('SS-LEADERSHIP', 'resourceful')",1,0.0,93,,,
"('SS-LEADERSHIP', 'self-starter')",1,0.0,94,,,
"('SS-STAKEHOLDER', 'cybersecurity')",1,0.0,130,,,
"('SS-STAKEHOLDER', 'entrepreneurial')",1,0.0,90,,,
"('SS-STAKEHOLDER', 'execution-oriented')",1,0.0,91,,,
"('SS-STAKEHOLDER', 'remote-friendly work culture')",1,0.0,92,,,
"('SS-STAKEHOLDER', 'resourceful')",1,0.0,93,,,
"('SS-STAKEHOLDER', 'self-starter')",1,0.0,94,,,
"('TECH-CONCEPT', 'cybersecurity')",1,0.0,130,,,
"('TECH-CONCEPT', 'entrepreneurial')",1,0.0,90,,,
"('TECH-CONCEPT', 'execution-oriented')",1,0.0,91,,,
"('TECH-CONCEPT', 'remote-friendly work culture')",1,0.0,92,,,
"('TECH-CONCEPT', 'resourceful')",1,0.0,93,,,
"('TECH-CONCEPT', 'self-starter')",1,0.0,94,,,
"('TECH-OPS', 'cybersecurity')",1,0.0,130,,,
"('TECH-OPS', 'entrepreneurial')",1,0.0,90,,,
"('TECH-OPS', 'execution-oriented')",1,0.0,91,,,
"('TECH-OPS', 'remote-friendly work culture')",1,0.0,92,,,
"('TECH-OPS', 'resourceful')",1,0.0,93,,,
"('TECH-OPS', 'self-starter')",1,0.0,94,,,
"('cybersecurity', 'entrepreneurial')",1,0.0,90,,,
"('cybersecurity', 'execution-oriented')",1,0.0,91,,,
